stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,reference_place,stop_name_short
12156,Carmel Mountain Rd & Gerana St,32.9730295839,-117.093029688,12156,0,,1,F-S/B,,,Carmel Mtn&Gerana
12157,Camino Del Norte & Bernardo Center Dr,33.0045894949,-117.091962536,12157,0,,1,F-E/B,,,Cmo Del Norte&Bdo Ctr
12158,West Bernardo Dr & Technology Dr,33.0095046681,-117.091024495,12158,0,,1,F-S/B,,,WBdo&Technology
12159,West Bernardo Dr & Via Frontera,33.0113924865,-117.091486222,12159,0,,1,F-S/B,,,WBdo&Via Frontera
12160,Carmel Mountain Rd & Penasquitos Dr,32.9773310203,-117.090599196,12160,0,,1,F-S/B,carpen,,Carmel Mtn&Pnsqts
12161,West Bernardo Dr & 16550,33.0141650001,-117.083875837,12161,0,,1,M-Street-N/B,,,WBdo&16550
12162,Bernardo Center Dr & West Bernardo Dr,33.007837655,-117.089211162,12162,0,,1,F-W/B,,,Bdo Ctr&WBdo
12164,Euclid Av & Trinidad Wy,32.6999673036,-117.085188193,12164,0,,1,M-Street-S/B,,,Euclid&Trinidad
12165,Euclid Av & Brooks Hoffman Plaza,32.7038650818,-117.085127598,12165,0,,1,F-S/B,,,Euclid&Brooks Hoffman Pza
12166,Euclid Av & Unity Place Drwy,32.708908646,-117.085116864,12166,0,,1,N-S/B,,,Euclid&Unity Pl
12167,Euclid Av & Hilltop Dr,32.7151643526,-117.085098106,12167,0,,1,N-S/B,,,Euclid&Hilltop
12168,Euclid Av & Federal Bl,32.7205105859,-117.085038215,12168,0,,1,F-S/B,,,Euclid&Federal
12169,Euclid Av & 54th St,32.7234568527,-117.085056375,12169,0,,1,F-S/B,,,Euclid&54th
12170,Collwood Bl & 4600,32.7663782971,-117.083706583,12170,0,,1,M-Street-S/B,,,Collwood&4600
12171,Collwood Bl & 4400,32.7640104942,-117.083498754,12171,0,,2,M-Street-S/B,,,Collwood&4400
12172,54th St & Haniman St,32.7257884202,-117.083306355,12172,0,,1,F-S/B,,,54th&Haniman
12174,Camino Del Norte & Paseo Montanoso,32.9998357407,-117.086528609,12174,0,,1,N-E/B,campas,,Cmo Del Norte&Paseo Montanoso
12176,Collwood Bl & 4200,32.7613572741,-117.082413208,12176,0,,1,M-Street-S/B,,,Collwood&4200
12178,West Bernardo Dr & Poblado Rd,33.0260259276,-117.082468029,12178,0,,1,F-S/B,wbepob,,WBdo&Poblado
12179,54th St & Nutmeg St,32.7336207354,-117.079770841,12179,0,,2,F-S/B,,,54th&Nutmeg
12180,3rd Av & G St,32.637105914,-117.078356319,12180,0,,1,F-S/B,,,3rd&G
12181,West Bernardo Dr & 16882,33.0209996493,-117.081138226,12181,0,,1,M-Street-S/B,,,WBdo&16882
12182,54th St & Streamview Dr,32.7421364857,-117.079636389,12182,0,,2,M-Street-S/B,54stv,,54th&Strmvw
12183,54th St & Lea St,32.7454129691,-117.079595688,12183,0,,2,F-S/B,,,54th&Lea
12184,West Bernardo Dr & Rancho Bernardo Rd,33.0233858159,-117.082292927,12184,0,,1,F-S/B,wberan,,WBdo&Rcho Bdo
12185,54th St & Trojan Av,32.7543460291,-117.079530182,12185,0,,1,F-S/B,,,54th&Trojan
12186,54th St & University Av,32.7482330996,-117.079570203,12186,0,,1,F-S/B,54univ,,54th&Univ
12187,54th St & El Cajon Bl,32.757388993,-117.079474263,12187,0,,1,F-S/B,elc54,,54th&El Cjn
12188,West Bernardo Dr & Matrinal Rd,33.0298818143,-117.082093459,12188,0,,1,F-S/B,,,WBdo&Matrinal
12189,3rd Av & H St,32.6337255991,-117.077080524,12189,0,,1,F-S/B,,,3rd&H
12190,Bayview Ct & Bayview Heights Pl,32.7238934556,-117.078186816,12190,0,,1,F-W/B,,,Bayview&Bayview Heights
12191,Waring Rd & Greenbrier Av,32.7948288984,-117.078678206,12191,0,,1,F-S/B,,,Waring&Greenbrier
12192,West Bernardo Dr & Duenda Rd,33.0330511083,-117.080821567,12192,0,,1,F-S/B,wbedue,,WBdo&Duenda
12194,3rd Av & J St,32.6266122245,-117.074253106,12194,0,,1,F-S/B,3rdj,,3rd&J
12195,Bayview Ct & Grape St,32.7276326236,-117.075545848,12195,0,,0,F-S/B,baygra,,Bayview&Grape
12196,3rd Av & K St,32.6237091643,-117.073118481,12196,0,,1,F-S/B,,,3rd&K
12198,Bernardo Center Dr & Fairlie Rd,33.0285460178,-117.075943497,12198,0,,1,F-S/B,,,Bdo Ctr&Fairlie
12199,Bernardo Center Dr & Fairhope Rd,33.0315779076,-117.07507145,12199,0,,1,F-S/B,,,Bdo Ctr&Fairhope
12200,Bernardo Center Dr & Regalo Ln,33.0261429117,-117.074847471,12200,0,,1,F-S/B,,,Bdo Ctr&Regalo
12201,3rd Av & Moss St,32.6161020225,-117.07013448,12201,0,,2,F-S/B,,,3rd&Moss
12202,Carmel Mountain Rd & Camino Del Norte,32.9906703901,-117.072877259,12202,0,,1,F-S/B,,,Carmel Mtn&Cmo Del Norte
12203,College Av & Cresita Dr,32.7684996008,-117.068596228,12203,0,,1,F-S/B,,,Coll&Cresita
12204,Beyer Bl & Del Sol Bl,32.5735588081,-117.066337485,12204,0,,1,F-S/B,,,Beyer&Del Sol
12205,College Av & Alvarado Rd,32.7761607553,-117.06801674,12205,0,,1,F-S/B,,,Coll&Alvarado
12206,College Av & Mesita Dr,32.7665865193,-117.067371556,12206,0,,2,F-S/B,,,Coll&Mesita
12207,College Av & El Cajon Bl,32.760640582,-117.067098448,12207,0,,1,F-S/B,elccol,,Coll&El Cjn
12208,Beyer Bl & Carnell Av,32.5716678778,-117.065089804,12208,0,,1,F-S/B,,,Beyer&Carnell
12209,College Av & Arosa St,32.7650062828,-117.066934001,12209,0,,1,F-S/B,,,Coll&Arosa
12211,Beyer Wy & Main St,32.5942789617,-117.064353813,12211,0,,1,F-S/B,mai3rd,,Beyer&Main
12212,3rd Av & Anita St,32.5982762937,-117.064611484,12212,0,,1,F-S/B,,,3rd&Anita
12213,3rd Av & Orange Av,32.6012997366,-117.064593933,12213,0,,1,F-S/B,ora3rd,,3rd&Orange
12214,College Av & View Pl,32.7554841797,-117.065886168,12214,0,,2,F-S/B,,,Coll&View
12215,College Av & University Av,32.7524760133,-117.064420678,12215,0,,1,F-S/B,,,Coll&Univ
12218,College Av & Rockhurst Dr,32.7852433511,-117.062787689,12218,0,,1,F-S/B,,,Coll&Rockhurst
12232,70th St & Saranac St,32.7706491349,-117.047151381,12232,0,,1,F-S/B,elc69,,70th&Saranac
12233,Jackson Dr & Navajo Rd,32.8034416556,-117.045834048,12233,0,,1,F-S/B,navjac,,Jackson&Navajo
12234,Lake Murray Bl & Parkway Dr,32.7754296195,-117.044887981,12234,0,,1,F-N/B,,,Lake Murray&Parkway
12235,Massachusetts Av & Mt Vernon St,32.7312428635,-117.043065146,12235,0,,1,F-S/B,masmtv,,Mass&Mt Vernon
12236,Massachusetts Av & Rosemary Ln,32.7331257628,-117.043036565,12236,0,,2,F-S/B,,,Mass&Rosemary
12238,Meadowbrook Dr & Blackpool Rd,32.7052390816,-117.031492367,12238,0,,0,F-S/B,,,Mdwbrk&Blackpool
12239,Meadowbrook Dr & Skyline Dr,32.7021955886,-117.030769737,12239,0,,1,F-S/B,,,Mdwbrk&Skyline
12240,La Mesa Bl & Lee Av,32.7680289726,-117.029645349,12240,0,,1,F-E/B,,,La Mesa&Lee
12241,Meadowbrook Dr & Brookmeadow Pl,32.6993288618,-117.028169879,12241,0,,1,M-Street-S/B,,,Mdwbrk&Brookmeadow
12242,Skyline Dr & Palm St,32.7339630205,-117.027220491,12242,0,,1,M-Street-S/B,,,Skyline&Palm
12243,Skyline Dr & Dayton Dr,32.7284427851,-117.026986462,12243,0,,1,F-S/B,,,Skyline&Dayton
12244,Skyline Dr & Canton Dr,32.7232544175,-117.026426989,12244,0,,0,F-S/B,,,Skyline&Canton
12246,Cardiff St & Jamacha Rd,32.7163281115,-117.025572679,12246,0,,1,F-S/B,,,Cardiff&Jamacha
12250,Lake Murray Bl & Lake Adlon Dr,32.7962524007,-117.016165882,12250,0,,1,F-S/B,,,Lake Murray&Lake Adlon
12253,Lake Murray Bl & Navajo Rd,32.802468809,-117.010941339,12253,0,,1,F-S/B,,,Lake Murray&Navajo
12255,La Jolla Bl & Genter St,32.835901027,-117.277804309,12255,0,,1,N-N/B,,,LJ&Genter
12257,La Jolla Bl & Gravilla St,32.8290011557,-117.276935928,12257,0,,1,N-N/B,,,LJ&Gravilla
12258,La Jolla Bl & Rosemont St,32.827495992,-117.276810941,12258,0,,1,N-N/B,,,LJ&Rosemont
12259,La Jolla Bl & Bonair St,32.8305222382,-117.276468603,12259,0,,1,N-N/B,,,LJ&Bonair
12260,La Jolla Bl & Mira Monte Plaza,32.8210827385,-117.273939961,12260,0,,1,N-N/B,,,LJ&Mira Monte Pza
12261,La Jolla Bl & La Canada,32.8197811403,-117.273130577,12261,0,,1,N-N/B,,,LJ&La Canada
