"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"4483","NCTD_20113","20113","20113","Country Club Ln & Eveningside Glen","33.15956000","-117.09598100","NCTD","","F-E/B","ccbroE","","33.15955518234106","-117.09596907826283"
"4484","NCTD_20115","20115","20115","Valley Pkwy & Tulip St","33.11732700","-117.09410200","NCTD","","F-E/B","","","33.11732218710257","-117.0940900821299"
"4485","NCTD_20116","20116","20116","El Norte Pkwy & Las Villas Way","33.14073800","-117.09470700","NCTD","","N-E/B","","","33.14073318448447","-117.09469508103639"
"4486","NCTD_20121","20121","20121","Mission Av & Cedar St","33.13424200","-117.07415200","NCTD","","N-E/B","misash","","33.13423718389129","-117.07414008471996"
"4487","NCTD_20122","20122","20122","Washington Av & Date St","33.13039600","-117.07258400","NCTD","","N-E/B","wasdat","","33.13039118440415","-117.07257208547749"
"4488","NCTD_20123","20123","20123","Washington Av & Beech St","33.13184600","-117.06995800","NCTD","","N-E/B","","","33.131841184097425","-117.06994608616913"
"4489","NCTD_20127","20127","20127","Sunset Dr & Royal Crest Dr","33.09554600","-117.06261500","NCTD","","N-S/B","","","33.095541188276165","-117.06260308965201"
"4490","NCTD_20129","20129","20129","Hwy 78 & Citrus Av","33.10891300","-117.04884000","NCTD","","N-E/B","","","33.10890818592033","-117.04882809092905"
"4491","NCTD_20130","20130","20130","Valley Pkwy & Quarry Glen","33.13882400","-117.04861400","NCTD","","N-E/B","","","33.13881918217721","-117.0486020890673"
"4492","NCTD_20131","20131","20131","Hwy 78 & Summit Dr","33.10695400","-117.04463800","NCTD","","N-E/B","","","33.10694918650093","-117.04462609242178"
"4493","NCTD_20133","20133","20133","Valley Pkwy & Citrus Av (Vons)","33.14021200","-117.04556200","NCTD","","N-E/B","","","33.14020718225728","-117.0455500887083"
"4494","NCTD_20134","20134","20134","Glenridge Rd & Mountain View Dr","33.12642000","-117.04432200","NCTD","","N-E/B","","","33.12641518368908","-117.04431008987547"
"4495","NCTD_20135","20135","20135","Valley Pkwy & Bear Valley Pkwy","33.14361500","-117.03805700","NCTD","","F-E/B","","","33.14361018166853","-117.03804509030628"
"4496","NCTD_20136","20136","20136","Valley Center Rd & Lilac Rd","33.22231600","-117.03650900","NCTD","","F-N/B","","","33.2223111720529","-117.0364970839892"
"4497","NCTD_20137","20137","20137","Valley Center Rd & Miller Rd","33.23082300","-117.03338800","NCTD","","N-N/B","","","33.23081817057684","-117.03337608378222"
"4498","NCTD_20138","20138","20138","Valley Center & Rock Hill Ranch Rd","33.22817400","-117.00631500","NCTD","","N-E/B","","","33.22816916953775","-117.00630308942378"
"4499","NCTD_20139","20139","20139","Hwy 78 & Old Milky Way","33.08783600","-116.99171600","NCTD","","N-S/B","","","33.087831185502644","-116.99170410298771"
"4500","NCTD_20140","20140","20140","Valley Center Rd & N Lake Wohlford Rd","33.22805500","-116.97640300","NCTD","","N-E/B","","","33.22805016840539","-116.97639109476934"
"4501","NCTD_20141","20141","20141","Valley Center Rd & Hwy 76","33.28735900","-116.95758800","NCTD","","N-N/B","","","33.28735415985188","-116.95757609392436"
"4502","NCTD_20142","20142","20142","Hwy 78 & Weekend Villa Rd","33.07003100","-116.88558100","NCTD","","N-E/B","78wvr","","33.07002618152792","-116.88556912156146"
"4503","NCTD_20155","20155","20155","Mission Av & Horne St","33.19836900","-117.37521900","NCTD","","F-E/B","","","33.198364193124554","-117.37520702817959"
"4504","NCTD_20157","20157","20157","Center Av & Horne St","33.19574300","-117.37322100","NCTD","","F-E/B","","","33.19573819288909","-117.37320902811757"
"4505","NCTD_20160","20160","20160","Oceanside Bl & Coast Hwy","33.18373600","-117.36882400","NCTD","","F-E/B","ocecoa","","33.183731194501014","-117.36881202997613"
"4506","NCTD_20161","20161","20161","Mission Av & Brooks St","33.20200400","-117.36832500","NCTD","","F-E/B","","","33.20199919175093","-117.36831302969834"
"4507","NCTD_20162","20162","20162","Oceanside Blvd & Ditmar St","33.18483300","-117.36699900","NCTD","","F-E/B","","","33.184828193592175","-117.36698703029964"
"4508","NCTD_20164","20164","20164","Mission Av & Canyon Dr","33.20471900","-117.36353400","NCTD","","F-E/B","miscaE","","33.20471419154418","-117.36352202956581"
